需求ID,Sprint,用例ID,模块,用例标题,优先级,用例类型,前置条件,操作步骤,预期结果,关联文档章节
P0-V5,Sprint1,S1-TC01,视频录制/选区录屏,选区录屏-拖拽选区后视频仅含选区,高,功能,Android设备已连接投屏,"1.选择选区模式 2.在Canvas拖拽矩形 3.录制10秒 4.结束上传",回放视频仅包含框选区域;meta.crop_rect有值,3.1-5 / 验收1
P0-V5,Sprint1,S1-TC02,视频录制/选区录屏,选区录屏-全屏模式正常,高,功能,Android设备已连接,"1.选择全屏模式 2.录制10秒 3.结束",视频为完整投屏画面;crop_rect为空,3.1-5
P0-V2,Sprint1,S1-TC03,视频录制/异常告警,录制异常-MediaRecorder失败弹窗,高,异常,设备已连接,"1.开始录制 2.触发MediaRecorder错误(mock)",弹出明确错误对话框;状态栏显示录制异常,3.1-2 / 2.1
P0-V2,Sprint1,S1-TC04,视频录制/异常告警,录制异常-保存失败保留草稿,高,异常,录制进行中,"1.录制30秒 2.模拟finish或upload网络失败",提示保存失败;IndexedDB有草稿;可恢复,3.1-2 / 2.1
P0-V1,Sprint1,S1-TC05,视频录制/一键启动,一键启动-有上次设备直达,高,功能,曾用设备A录制过,"1.点击全局FAB",跳转设备A投屏页并auto_record;无选设备弹窗,3.1-1 / 验收1
P0-V1,Sprint1,S1-TC06,视频录制/一键启动,一键启动-无历史弹出选设备,中,功能,清空localStorage后,"1.点击FAB 2.选择在线设备",弹出设备列表;选后自动开始录制,3.1-1
P0-V1,Sprint1,S1-TC07,视频录制/一键启动,启动耗时-有历史设备≤3秒,高,性能,同S1-TC05,"1.点击FAB并计时到录制中",P95启动耗时≤3秒(同机验收),验收标准1
P0-V4,Sprint1,S1-TC08,视频录制/归档标签,录制前填写模块版本项目编码,高,功能,设备已连接,"1.开始录制前填写标签 2.完成录制",operation_record与recording_resources均写入标签,3.1-4
P0-V2,Sprint1,S1-TC09,视频录制/启停管控,暂停继续-步骤offset连续,高,功能,录制中,"1.操作3步后暂停5秒 2.继续2步 3.结束",暂停期间无新步骤;video_offset_ms连续,3.1-2
P1-D3,Sprint1,S1-TC10,视频录制/切点,切点标记-计数与segments正确,高,功能,录制中,"1.操作5步标记切点1 2.再3步标记切点2",状态栏显示2切点;meta.segments长度=2,3.3-3
P0-V4,Sprint2,S2-TC01,录屏回放/检索,录屏列表-按模块筛选,高,功能,已有带module_name录屏,"1.录屏回放页 2.筛选module=订单模块",仅显示该模块录屏,3.1-4
P0-V4,Sprint2,S2-TC02,录屏回放/检索,录屏列表-按版本筛选,高,功能,已有带version_label录屏,"1.筛选version=v2.3.0",结果正确,3.1-4
P0-V4,Sprint2,S2-TC03,录屏回放/检索,录屏列表-关键词检索操作人,中,功能,已有录屏,"1.输入操作人关键词",匹配file_name或operator_label,3.1-4
P0-V4,Sprint2,S2-TC04,录屏回放/缩略图,缩略图-列表正确展示,中,功能,录制已上传thumbnail,"1.打开录屏列表",每行显示缩略图;无图显示占位,3.1-4
P0-V6,Sprint2,S2-TC05,视频录制/水印,水印-画面含项目编码,高,功能,水印开关ON,"1.录制10秒 2.回放",水印含操作人+时间+项目编码,3.1-5 / 验收1
P0-V6,Sprint2,S2-TC06,视频录制/水印,水印-关闭后不显示,中,功能,水印开关OFF,"1.录制并回放",画面无水印文字,3.1-5
P0-V6,Sprint2,S2-TC07,视频录制/水印,水印-hash可核验,高,功能,录制完成,"1.查看Recordings水印列 2.对比详情",hash与watermark_payload一致,3.1-5
P0-V4,Sprint2,S2-TC08,录屏回放/播放器,播放器-倍速0.5x至3x,高,功能,有ready录屏,"1.分别切换0.5/1/1.5/2/3x",播放速度正确,3.1-4 / 验收1
P0-V4,Sprint2,S2-TC09,录屏回放/播放器,播放器-timeline步骤markers,高,功能,有关联步骤的录屏,"1.打开回放 2.查看进度条",显示步骤标记;点击可跳转,3.1-4
P0-V4,Sprint2,S2-TC10a,录屏回放/播放器,播放器-画面矩形标注,中,功能,回放中,"1.开启标注 2.拖拽画框",可画标注框,3.1-4 / 验收1
P0-V4,Sprint2,S2-TC10,录屏回放/播放器,播放器-局部放大100至300%,中,功能,回放中,"1.调节zoom滑块",画面缩放正确,3.1-4
P0-C2,Sprint3,S3-TC01,用例生成/定位,定位-多维度参数采集,高,功能,原生页有可点按钮,"1.点击带resource-id按钮 2.结束审阅",含id/xpath/class/text/relative_xpath/absolute_xpath,3.2-2 / 验收2
P0-C2,Sprint3,S3-TC02,用例生成/定位,定位-过滤动态属性,高,功能,页面含随机id控件,"1.点击 2.审阅",优先text/desc;动态id不入locators,3.2-2
P0-C2,Sprint3,S3-TC03,用例生成/实时校验,实时校验-无效点击黄标,高,功能,录制中,"1.点击空白区域",步骤黄标/警告定位无效,3.2-2
P0-C2,Sprint3,S3-TC04,用例生成/实时校验,实时校验-有效点击无警告,高,功能,录制中,"1.点击登录按钮",display_name正确;无警告,3.2-2
P0-C2,Sprint3,S3-TC05,用例生成/enrich,enrich-50步不截断,高,功能,可连续操作,"1.录制50+步 2.结束",全部click完成inspect;无20步budget降级,3.2-2
P0-C1,Sprint3,S3-TC06,用例生成/识别,识别-下拉Spinner,高,功能,页面有Spinner,"1.点击下拉选选项 2.审阅",type=select或display含选项,3.2-1
P0-C1,Sprint3,S3-TC07,用例生成/识别,识别-弹窗确认,高,功能,可触发弹窗,"1.点击确定 2.审阅",识别为confirm_dialog或dismiss_popup,3.2-1
P0-C1,Sprint3,S3-TC08,用例生成/识别,识别-文本输入,高,功能,有输入框,"1.点击输入框并输入",type=input;text正确;有snapshot_thumb,3.2-1
P0-C1,Sprint3,S3-TC09,用例生成/识别,识别-系统键Back/Home,中,功能,录制中,"1.按Back或Home",type=press_key;key正确,3.2-1
P0-C1,Sprint3,S3-TC11,用例生成/降噪,降噪-连续无效点击过滤,中,功能,可连点,"1.结束并开降噪预览",removed_count>0;步骤精简,3.2-1
P0-C1,Sprint3,S3-TC12,用例生成/指标,recognition_rate写入meta,高,功能,混合操作录制,"1.finish后GET record",meta.recognition_rate在0~1,验收2
P0-C2,Sprint3,S3-TC13,用例生成/双视图,双视图-手工隐藏定位,高,功能,审阅页有步骤,"1.选手工测试视图",仅display_name;无xpath明文,3.2-2 / 验收2
P0-C2,Sprint3,S3-TC14,用例生成/双视图,双视图-自动化展示locators,高,功能,审阅页,"1.选自动化视图",完整locators可查看复制,3.2-2
P0-C2,Sprint3,S3-TC15,用例生成/模板,validation_elements自动填充,中,功能,完成录制,"1.查看meta.validation_elements",数组含主要可交互元素,3.2-2
P0-C4,Sprint4,S4-TC01,用例审阅/联动,审阅-点击步骤跳转视频,高,功能,有关联视频审阅页,"1.点击第N步",播放器seek到video_offset_ms,3.2-4
P0-C4,Sprint4,S4-TC02,用例审阅/联动,审阅-拖动视频高亮步骤,高,功能,审阅页,"1.拖动进度条",对应步骤高亮active,3.2-4
